file_name,start_time,end_time,v0_lon,v0_lat,v1_lon,v1_lat,v2_lon,v2_lat,v3_lon,v3_lat,ratio_Al,ratio_Ca,ratio_Si,ratio_O,ratio_Fe,ratio_Mg,solar_class
ch2_cla_l1_20240701T192858911_20240701T192906911.fits,2024-07-01 19:28:58.911000,2024-07-01 19:29:06.911000,-132.976,-38.994,-133.012,-40.2449,-131.904,-40.2582,-131.887,-39.0071,20,10,40,15,15,30,A
ch2_cla_l1_20240701T155505767_20240701T155513767.fits,2024-07-01 15:55:05.767000,2024-07-01 15:55:13.767000,52.0831,-80.3204,52.3239,-81.346,56.3532,-81.3004,55.683,-80.2797,20,10,40,15,15,30,A
ch2_cla_l1_20240701T155337767_20240701T155345767.fits,2024-07-01 15:53:37.767000,2024-07-01 15:53:45.767000,53.8404,-84.8969,54.795,-85.9366,63.431,-85.8381,60.7604,-84.8184,20,10,40,15,15,30,A
ch2_cla_l1_20240701T100251848_20240701T100259848.fits,2024-07-01 10:02:51.848000,2024-07-01 10:02:59.848000,61.6121,-87.9275,69.7894,-88.9525,96.0634,-88.6332,77.6703,-87.7497,20,10,40,15,15,30,A
ch2_cla_l1_20240701T133837195_20240701T133845195.fits,2024-07-01 13:38:37.195000,2024-07-01 13:38:45.195000,-129.63,-37.2452,-129.662,-38.5003,-128.576,-38.5124,-128.56,-37.2571,20,10,40,15,15,30,A
ch2_cla_l1_20240701T153033767_20240701T153041767.fits,2024-07-01 15:30:33.767000,2024-07-01 15:30:41.767000,-130.421,-23.1584,-130.444,-24.4566,-129.46,-24.4678,-129.445,-23.1695,20,10,40,15,15,30,A
ch2_cla_l1_20240701T094843848_20240701T094851848.fits,2024-07-01 09:48:43.848000,2024-07-01 09:48:51.848000,-127.729,-47.2876,-127.772,-48.505,-126.549,-48.5182,-126.531,-47.3004,20,10,40,15,15,30,A
ch2_cla_l1_20240701T164413826_20240701T164421826.fits,2024-07-01 16:44:13.826000,2024-07-01 16:44:21.826000,45.8468,74.8282,46.1215,73.6963,48.6939,73.7258,48.6126,74.8599,20,10,40,15,15,30,A
ch2_cla_l1_20240701T130421195_20240701T130429195.fits,2024-07-01 13:04:21.195000,2024-07-01 13:04:29.195000,-127.963,65.674,-127.994,64.3891,-125.953,64.3666,-125.824,65.6505,20,10,40,15,15,30,A
ch2_cla_l1_20240701T172613826_20240701T172621826.fits,2024-07-01 17:26:13.826000,2024-07-01 17:26:21.826000,-131.463,-20.3591,-131.486,-21.6648,-130.514,-21.6761,-130.499,-20.3703,20,10,40,15,15,30,A
ch2_cla_l1_20240701T090755848_20240701T090803848.fits,2024-07-01 09:07:55.848000,2024-07-01 09:08:03.848000,-125.423,75.4126,-125.49,74.1541,-122.364,74.1207,-122.039,75.3764,20,10,40,15,15,30,A
ch2_cla_l1_20240701T120416112_20240701T120424112.fits,2024-07-01 12:04:16.112000,2024-07-01 12:04:24.112000,53.2984,-72.8965,53.3704,-73.8929,55.4504,-73.8703,55.2555,-72.8752,20,10,40,15,15,30,A
ch2_cla_l1_20240701T151137767_20240701T151145767.fits,2024-07-01 15:11:37.767000,2024-07-01 15:11:45.767000,-129.62,33.6189,-129.635,32.2696,-128.511,32.257,-128.48,33.6062,20,10,40,15,15,30,A
ch2_cla_l1_20240701T151705767_20240701T151713767.fits,2024-07-01 15:17:05.767000,2024-07-01 15:17:13.767000,-129.831,17.2666,-129.845,15.9093,-128.848,15.898,-128.827,17.2553,20,10,40,15,15,30,A
ch2_cla_l1_20240701T115208112_20240701T115216112.fits,2024-07-01 11:52:08.112000,2024-07-01 11:52:16.112000,-130.157,-68.2051,-130.302,-69.341,-128.247,-69.3633,-128.2,-68.2264,20,10,40,15,15,30,A
ch2_cla_l1_20240701T174517826_20240701T174525826.fits,2024-07-01 17:45:17.826000,2024-07-01 17:45:25.826000,-135.96,-78.626,-136.503,-79.7232,-132.647,-79.7678,-132.463,-78.6665,20,10,40,15,15,30,A
ch2_cla_l1_20240701T113320112_20240701T113328112.fits,2024-07-01 11:33:20.112000,2024-07-01 11:33:28.112000,-128.034,-10.9858,-128.052,-12.3144,-127.103,-12.3248,-127.088,-10.9962,20,10,40,15,15,30,A
ch2_cla_l1_20240701T131933195_20240701T131941195.fits,2024-07-01 13:19:33.195000,2024-07-01 13:19:41.195000,-128.711,20.0998,-128.725,18.7404,-127.711,18.7292,-127.688,20.0884,20,10,40,15,15,30,A
ch2_cla_l1_20240701T194930911_20240701T194938911.fits,2024-07-01 19:49:30.911000,2024-07-01 19:49:38.911000,49.4678,-76.5096,49.602,-77.5274,52.3766,-77.4945,52.0311,-76.4792,20,10,40,15,15,30,A
ch2_cla_l1_20240701T132709195_20240701T132717195.fits,2024-07-01 13:27:09.195000,2024-07-01 13:27:17.195000,-129.004,-2.6523,-129.021,-3.9949,-128.076,-4.0055,-128.06,-2.6628,20,10,40,15,15,30,A
ch2_cla_l1_20240701T145233767_20240701T145241767.fits,2024-07-01 14:52:33.767000,2024-07-01 14:52:41.767000,-53.1277,89.7435,8.2738,88.4642,38.2757,88.8392,31.7823,89.232,20,10,40,15,15,30,A
ch2_cla_l1_20240701T110904112_20240701T110912112.fits,2024-07-01 11:09:04.112000,2024-07-01 11:09:12.112000,-127.003,61.713,-127.027,60.4144,-125.211,60.3947,-125.113,61.6925,20,10,40,15,15,30,A
ch2_cla_l1_20240701T155353767_20240701T155401767.fits,2024-07-01 15:53:53.767000,2024-07-01 15:54:01.767000,53.3246,-84.0661,54.0069,-85.1036,61.1924,-85.022,59.2717,-83.9987,20,10,40,15,15,30,A
ch2_cla_l1_20240701T151913767_20240701T151921767.fits,2024-07-01 15:19:13.767000,2024-07-01 15:19:21.767000,-129.912,10.8838,-129.927,9.5282,-128.957,9.5173,-128.938,10.8728,20,10,40,15,15,30,A
ch2_cla_l1_20240701T193242911_20240701T193250911.fits,2024-07-01 19:32:42.911000,2024-07-01 19:32:50.911000,-133.369,-50.3733,-133.423,-51.5841,-132.129,-51.5995,-132.107,-50.3884,20,10,40,15,15,30,A
ch2_cla_l1_20240701T131117195_20240701T131125195.fits,2024-07-01 13:11:17.195000,2024-07-01 13:11:25.195000,-128.385,44.8351,-128.4,43.4997,-127.111,43.4855,-127.066,44.8206,20,10,40,15,15,30,A
ch2_cla_l1_20240701T192450911_20240701T192458911.fits,2024-07-01 19:24:50.911000,2024-07-01 19:24:58.911000,-132.675,-26.4651,-132.701,-27.7545,-131.7,-27.7664,-131.684,-26.477,20,10,40,15,15,30,A
ch2_cla_l1_20240701T090427848_20240701T090435848.fits,2024-07-01 09:04:27.848000,2024-07-01 09:04:35.848000,-123.176,85.9268,-123.857,84.7072,-115.147,84.6135,-111.991,85.8061,20,10,40,15,15,30,A
ch2_cla_l1_20240701T172805826_20240701T172813826.fits,2024-07-01 17:28:05.826000,2024-07-01 17:28:13.826000,-131.57,-25.9953,-131.595,-27.2858,-130.597,-27.2975,-130.582,-26.0068,20,10,40,15,15,30,A
ch2_cla_l1_20240701T154041767_20240701T154049767.fits,2024-07-01 15:40:41.767000,2024-07-01 15:40:49.767000,-131.314,-53.9668,-131.374,-55.1621,-129.996,-55.1778,-129.973,-53.9821,20,10,40,15,15,30,A
ch2_cla_l1_20240701T165309826_20240701T165317826.fits,2024-07-01 16:53:09.826000,2024-07-01 16:53:17.826000,-129.237,78.9621,-129.373,77.7252,-125.469,77.6805,-124.913,78.9126,20,10,40,15,15,30,A
ch2_cla_l1_20240701T195146911_20240701T195154911.fits,2024-07-01 19:51:46.911000,2024-07-01 19:51:54.911000,48.8882,-69.4019,48.9476,-70.3976,50.6656,-70.3772,50.5227,-69.3825,20,10,40,15,15,30,A
ch2_cla_l1_20240701T110712112_20240701T110720112.fits,2024-07-01 11:07:12.112000,2024-07-01 11:07:20.112000,-126.847,67.3385,-126.881,66.0563,-124.714,66.0328,-124.568,67.3138,20,10,40,15,15,30,A
ch2_cla_l1_20240701T095259848_20240701T095307848.fits,2024-07-01 09:52:59.848000,2024-07-01 09:53:07.848000,-128.351,-60.3652,-128.432,-61.5313,-126.845,-61.5483,-126.817,-60.3816,20,10,40,15,15,30,A
ch2_cla_l1_20240701T145153767_20240701T145201767.fits,2024-07-01 14:51:53.767000,2024-07-01 14:52:01.767000,23.196,87.7642,32.6797,86.6661,46.1389,86.8198,43.4356,88.001,20,10,40,15,15,30,A
